codigo_postal,localidad,partido,provincia
1870,Villa Pobladora,Avellaneda,Buenos Aires
1870,Villa Porvenir,Avellaneda,Buenos Aires
1871,Dock Sud,Avellaneda,Buenos Aires
1871,Isla Maciel,Avellaneda,Buenos Aires
1872,Costa De Sarandi,Avellaneda,Buenos Aires
1872,La Costa (Sarandi, Pdo. Avellaneda),Avellaneda,Buenos Aires
1872,Sarandi,Avellaneda,Buenos Aires
1872,Sarandi Estafeta Nº1,Avellaneda,Buenos Aires
1874,Barrio Obrero Villa Avellaneda,Avellaneda,Buenos Aires
1874,Costa De Villa Dominico,Avellaneda,Buenos Aires
1874,Las Quintas (Villa Dominico, Pdo.Avellaneda),Avellaneda,Buenos Aires
1874,Villa Barilari,Avellaneda,Buenos Aires
1874,Villa Corina,Avellaneda,Buenos Aires
1874,Villa Dominico,Avellaneda,Buenos Aires
1874,Villa Dominico Estafeta Nº1,Avellaneda,Buenos Aires
1874,Villa Dominico Estafeta Nº2,Avellaneda,Buenos Aires
1874,Villa Hue,Avellaneda,Buenos Aires
1874,Villa Ite,Avellaneda,Buenos Aires
1874,Villa Nuñez,Avellaneda,Buenos Aires
1875,Villa Gonnet,Avellaneda,Buenos Aires
1875,Wilde,Avellaneda,Buenos Aires
1875,Wilde Estafeta N71,Avellaneda,Buenos Aires
1875,Wilde Este,Avellaneda,Buenos Aires
7150,Ayacucho,Ayacucho,Buenos Aires
7150,San Laureano,Ayacucho,Buenos Aires
7151,Langueyu,Ayacucho,Buenos Aires
7151,Las Sultanas,Ayacucho,Buenos Aires
7151,Magallanes,Ayacucho,Buenos Aires
7151,San Ignacio,Ayacucho,Buenos Aires
7151,Solanet,Ayacucho,Buenos Aires
7151,Udaquiola,Ayacucho,Buenos Aires
7153,Cangallo,Ayacucho,Buenos Aires
7153,Fair,Ayacucho,Buenos Aires
7153,La Constancia,Ayacucho,Buenos Aires
7214,Cachari,Azul,Buenos Aires
7214,Laguna Medina,Azul,Buenos Aires
7214,Miramonte,Azul,Buenos Aires
7300,Azul,Azul,Buenos Aires
7300,Barrio Ceferino Namuncura,Azul,Buenos Aires
7300,Barrio Martin Guemes,Azul,Buenos Aires
7300,Caminera Azul,Azul,Buenos Aires
7300,Estacion Lazzarino,Azul,Buenos Aires
7300,La Colorada (Azul, Pdo. Azul),Azul,Buenos Aires
7300,La Mantequeria,Azul,Buenos Aires
7300,Las Cortaderas (Azul, Pdo. Azul),Azul,Buenos Aires
7300,Vicente Pereda,Azul,Buenos Aires
7301,Ariel,Azul,Buenos Aires
7301,Arroyo De Los Huesos,Azul,Buenos Aires
7301,Eufemio Uballes,Azul,Buenos Aires
7301,Francisco J. Meeks,Azul,Buenos Aires
7301,Vaña,Azul,Buenos Aires
7305,Antonio De Los Heros,Azul,Buenos Aires
7305,Bañado De Las Flores,Azul,Buenos Aires
7305,Campodonico,Azul,Buenos Aires
7305,Covello,Azul,Buenos Aires
7305,El Bañado,Azul,Buenos Aires
7305,El Mirador,Azul,Buenos Aires
7305,San Andres De Tapalque,Azul,Buenos Aires
7305,San Gervasio,Azul,Buenos Aires
7305,Velloso,Azul,Buenos Aires
7311,Chillar,Azul,Buenos Aires
7311,La Protegida (Pdo. Azul),Azul,Buenos Aires
7311,Martin Fierro (Chillar, Pdo.Azul),Azul,Buenos Aires
7311,San Ramon De Anchorena,Azul,Buenos Aires
7313,Bernardo Vera Y Pintado,Azul,Buenos Aires
7313,Coronel Rodolfo Bunge,Azul,Buenos Aires
7313,Dieciseis De Julio,Azul,Buenos Aires
7313,El Luchador,Azul,Buenos Aires
7313,Kilometro 433,Azul,Buenos Aires
7313,La Nutria,Azul,Buenos Aires
7313,Ricardo Gaviña,Azul,Buenos Aires
7316,Fortin Irene,Azul,Buenos Aires
7316,La Chumbeada (Azul, Pdo. Azul),Azul,Buenos Aires
7316,Las Nieves,Azul,Buenos Aires
7316,Nieves,Azul,Buenos Aires
7316,Parish,Azul,Buenos Aires
7316,Shaw,Azul,Buenos Aires
8000,Adela Corti,Bahia Blanca,Buenos Aires
8000,Bahia Blanca,Bahia Blanca,Buenos Aires
8000,Bahia Blanca Noroeste,Bahia Blanca,Buenos Aires
8000,Barrio Almafuerte (Bahia Blanca, Pdo. Bahia Blanca),Bahia Blanca,Buenos Aires
8000,Barrio Avellaneda,Bahia Blanca,Buenos Aires
8000,Barrio Kilometro 5,Bahia Blanca,Buenos Aires
8000,Barrio La Falda,Bahia Blanca,Buenos Aires
8000,Barrio Loma Paraguaya,Bahia Blanca,Buenos Aires
8000,Barrio Maldonado,Bahia Blanca,Buenos Aires
8000,Barrio Noroeste,Bahia Blanca,Buenos Aires
8000,Barrio Parque Patagonia,Bahia Blanca,Buenos Aires
8000,Barrio Pedro Pico,Bahia Blanca,Buenos Aires
8000,Barrio Rosario Sud,Bahia Blanca,Buenos Aires
8000,Barrio San Blas,Bahia Blanca,Buenos Aires
8000,Barrio San Martin (Pdo. Bahia Blanca),Bahia Blanca,Buenos Aires
8000,Barrio San Roque (Bahia Blanca, Pdo.Bahia Blanca),Bahia Blanca,Buenos Aires
8000,Barrio Tiro Federal (Bahia Blanca, Pdo.Bahia Blanca),Bahia Blanca,Buenos Aires
8000,Barrio Villa Muñiz,Bahia Blanca,Buenos Aires
8000,Barrio Vista Alegre (Bahia Blanca, Pdo. Bahia Blanca),Bahia Blanca,Buenos Aires
8000,Bella Vista (Bahia Blanca, Pdo. Bahia Blanca),Bahia Blanca,Buenos Aires
8000,Bordeu,Bahia Blanca,Buenos Aires
8000,Coronel Maldonado,Bahia Blanca,Buenos Aires
8000,Puerto Galvan,Bahia Blanca,Buenos Aires
8000,Villa Buenos Aires,Bahia Blanca,Buenos Aires
8000,Villa Cerrito,Bahia Blanca,Buenos Aires
8000,Villa Delfina,Bahia Blanca,Buenos Aires
8000,Villa Domingo Pronsato,Bahia Blanca,Buenos Aires
8000,Villa Floresta,Bahia Blanca,Buenos Aires
8000,Villa Italia (Bahia Blanca, Pdo. Bahia Blanca),Bahia Blanca,Buenos Aires
8000,Villa Libres,Bahia Blanca,Buenos Aires
8000,Villa Loreto,Bahia Blanca,Buenos Aires
8000,Villa Nocito,Bahia Blanca,Buenos Aires
8000,Villa Obrera,Bahia Blanca,Buenos Aires
8000,Villa Olga,Bahia Blanca,Buenos Aires
8000,Villa Sanchez Elia,Bahia Blanca,Buenos Aires
8000,Villa Soldati,Bahia Blanca,Buenos Aires
8101,Aldea Romana,Bahia Blanca,Buenos Aires
8101,Calderon,Bahia Blanca,Buenos Aires
8101,Galvan,Bahia Blanca,Buenos Aires
8101,Grunbein,Bahia Blanca,Buenos Aires
8101,Villa Gral. Arias,Bahia Blanca,Buenos Aires
8101,Villa Harding Green,Bahia Blanca,Buenos Aires
8101,Villa Herminia,Bahia Blanca,Buenos Aires
8103,Garro,Bahia Blanca,Buenos Aires
8103,Ingeniero White,Bahia Blanca,Buenos Aires
8103,Puerto Bahia Blanca,Bahia Blanca,Buenos Aires
8103,Spurr,Bahia Blanca,Buenos Aires
8103,Villa Rosas,Bahia Blanca,Buenos Aires
8103,Villa Sierra,Bahia Blanca,Buenos Aires
8105,Aguara,Bahia Blanca,Buenos Aires
8105,Colonia La Merced,Bahia Blanca,Buenos Aires
8105,Cuatreros,Bahia Blanca,Buenos Aires
8105,General Cerri,Bahia Blanca,Buenos Aires
8105,General Daniel Cerri,Bahia Blanca,Buenos Aires
8105,Kilometro 666 (Apeadero Fcgr.),Bahia Blanca,Buenos Aires
8105,La Merced,Bahia Blanca,Buenos Aires
8105,Sauce Chico,Bahia Blanca,Buenos Aires
8107,Base Aeronaval Comandante Espora,Bahia Blanca,Buenos Aires
